player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Anders Bjork,24,LW,45,5,6,11,-13,14,0.2,5,0,0,0,5,0,1,41,12.2,625,833,13,48,0,1,0.0,183,0,146,3.73,41,83,62,0.36,3.94,7.97,5.96,282.0,342.0,45.19,486.0,615.0,44.14,379.0,469.0,44.69,20.11,27.39,42.34,23,3,0,1600000,0.0196319018404908
Oliver Bjorkstrand,25,RW,56,18,26,44,-15,23,4.2,16,2,0,0,22,4,0,143,12.6,986,1057,30,42,3,4,42.9,183,1,89,11.79,143,237,203,0.72,8.69,14.42,12.35,512.0,526.0,49.33,864.0,886.0,49.37,682.0,684.0,49.93,39.92,48.14,45.33,23,3,0,2500000,0.0306748466257668
Nick Bjugstad,28,C,44,6,11,17,7,17,1.7,6,0,0,3,10,1,0,78,7.7,520,709,22,48,125,145,46.3,198,1,19,7.31,76,115,98,0.88,9.18,13.9,11.84,274.0,226.0,54.8,464.0,464.0,50.0,374.0,335.0,52.75,26.05,17.45,59.89,22,6,0,4100000,0.0503067484662576
Teddy Blueger,26,C,43,7,15,22,10,16,2.1,4,0,3,1,15,0,0,49,14.3,639,891,25,53,201,212,48.7,183,0,52,5.21,49,77,64,0.49,4.61,7.24,6.02,261.0,331.0,44.09,435.0,584.0,42.69,342.0,431.0,44.24,22.39,26.09,46.18,24,2,0,750000,0.00920245398773
Brock Boeser,23,RW,56,23,26,49,-3,16,5.9,14,8,1,1,20,6,0,141,16.3,1082,1159,20,32,8,14,36.4,185,1,23,16.48,123,222,172,1.01,7.57,13.67,10.59,569.0,443.0,56.23,1076.0,783.0,57.88,805.0,601.0,57.25,60.42,45.78,56.89,22,3,0,5875000,0.0720858895705521
Zach Bogosian,30,D,45,0,4,4,7,49,1.2,0,0,0,0,4,0,0,36,0.0,654,872,31,67,0,0,0.0,191,1,3,1.48,36,85,59,0.14,3.3,7.8,5.41,325.0,326.0,49.92,566.0,561.0,50.22,434.0,450.0,49.1,29.23,27.8,51.25,29,1,1,1000000,0.0122699386503067
Nick Bonino,32,C,55,10,16,26,0,26,2.2,7,3,0,2,14,2,0,66,15.2,817,891,50,11,365,326,52.8,185,0,173,6.37,64,99,83,0.48,4.87,7.53,6.32,368.0,425.0,46.41,625.0,814.0,43.43,482.0,579.0,45.43,35.72,33.6,51.54,29,4,1,4100000,0.0503067484662576
Mark Borowiecki,31,D,22,0,1,1,-2,38,0.2,0,0,0,0,1,0,0,18,0.0,301,821,37,54,0,0,0.0,188,0,139,0.48,18,47,32,0.1,3.59,9.36,6.38,116.0,155.0,42.8,218.0,303.0,41.84,163.0,208.0,43.94,6.46,13.2,32.86,30,2,1,2000000,0.0245398773006134
Robert Bortuzzo,31,D,40,1,4,5,-3,47,0.8,1,0,0,1,4,0,0,31,3.2,567,850,49,85,0,0,0.0,193,1,78,1.23,30,66,38,0.14,3.41,7.5,4.32,205.0,250.0,45.05,391.0,486.0,44.58,293.0,361.0,44.8,16.18,25.19,39.11,30,3,1,1375000,0.0168711656441717
Travis Boyd,27,C,39,5,5,10,-5,2,0.6,4,1,0,0,5,0,0,23,21.7,418,644,15,18,75,85,46.9,183,1,177,2.97,21,44,34,0.53,3.72,7.79,6.02,131.0,163.0,44.56,263.0,305.0,46.3,198.0,231.0,46.15,12.69,15.18,45.53,26,1,1,700000,0.0085889570552147
