Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Brad Richardson,35,C,17,1,3,4,0,4,0.2,1,0,0,1,3,0,0,18,5.6,208,736,9,14,76,72,51.4
Tobias Rieder,28,C,44,5,2,7,-9,2,0.2,5,0,0,0,2,0,0,63,7.9,539,735,34,21,1,7,12.5
Morgan Rielly,26,D,55,5,30,35,11,14,5.4,4,1,0,1,18,11,1,101,5.0,1299,1417,61,63,0,0,0.0
Rasmus Ristolainen,26,D,49,4,14,18,-18,36,2.6,3,1,0,0,8,6,0,73,5.5,1092,1337,68,193,0,0,0.0
Brett Ritchie,27,RW,32,4,4,8,-5,24,0.5,4,0,0,0,4,0,0,36,11.1,364,682,6,97,3,6,33.3
Nick Ritchie,25,LW,56,15,11,26,-7,37,2.6,10,5,0,2,7,4,0,121,12.4,861,922,17,102,0,4,0.0
Jason Robertson,21,LW,51,17,28,45,13,16,5.6,16,1,0,3,23,5,0,127,13.4,861,1013,13,28,5,2,71.4
Eric Robinson,25,LW,56,8,10,18,6,4,1.8,7,0,1,2,10,0,0,75,10.7,694,744,16,94,3,3,50.0
Evan Rodrigues,27,C,35,7,7,14,-3,6,1.1,5,2,0,1,7,0,0,65,10.8,494,846,10,21,54,74,42.2
Alexander Romanov,21,D,54,1,5,6,1,21,1.6,1,0,0,0,4,1,0,71,1.4,932,1035,60,138,0,0,0.0
Kevin Rooney,27,C,54,8,6,14,0,54,1.1,6,0,2,0,6,0,0,62,12.9,667,741,35,110,197,241,45.0
Jack Roslovic,24,C,48,12,22,34,-11,14,3.0,8,4,0,1,16,6,0,85,14.1,811,1014,22,34,232,361,39.1
Antoine Roussel,31,LW,35,1,3,4,4,37,0.1,1,0,0,0,2,0,1,28,3.6,403,690,18,63,2,2,50.0
Carter Rowney,31,RW,19,0,6,6,-2,2,0.2,0,0,0,0,6,0,0,10,0.0,271,857,21,45,8,6,57.1
Matt Roy,25,D,44,2,8,10,0,8,2.5,2,0,0,0,6,1,1,57,3.5,847,1155,67,61,0,0,0.0
Nicolas Roy,23,C,50,6,9,15,9,14,1.4,6,0,0,1,9,0,0,52,11.5,651,781,23,50,142,175,44.8
Chad Ruhwedel,30,D,17,0,2,2,3,14,0.5,0,0,0,0,2,0,0,16,0.0,250,882,13,32,0,0,0.0
Arttu Ruotsalainen,23,F,17,5,1,6,-9,8,0.5,5,0,0,0,1,0,0,28,17.9,238,839,4,16,4,6,40.0
Kris Russell,33,D,35,0,9,9,0,8,1.6,0,0,0,0,9,0,0,41,0.0,644,1104,75,41,0,0,0.0
Bryan Rust,28,RW,56,22,20,42,9,18,4.8,16,6,0,6,15,5,0,154,14.3,1105,1183,30,62,3,3,50.0
Jan Rutta,30,D,35,0,8,8,12,22,2.3,0,0,0,0,6,0,2,46,0.0,561,962,32,30,0,0,0.0
Bobby Ryan,33,LW,33,7,7,14,-14,27,0.9,6,1,0,0,5,2,0,73,9.6,506,919,17,31,5,11,31.3
