PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Joe Morrow,183,0,23,1.40,40,119,72,0.15,4.19,12.48,7.55,258,349,42.50,518,646,44.50,379,489,43.66,21.51,28.41,43.09,25,1,1,1000000,0.012578616352201259
Chris Wideman,178,1,100,1.28,27,66,43,0.24,4.96,12.13,7.90,162,171,48.65,314,325,49.14,231,247,48.33,14.31,15.53,47.96,28,1,1,1000000,0.012578616352201259
Andrew Copp,185,0,104,10.32,82,139,110,0.74,5.86,9.94,7.87,373,454,45.10,731,825,46.98,528,620,45.99,32.46,38.07,46.02,22,2,0,1000000,0.012578616352201259
Nick Cousins,180,0,68,13.63,144,234,179,0.75,7.88,12.80,9.78,604,551,52.29,1137,1050,51.99,850,749,53.16,52.19,45.56,53.39,23,2,0,1000000,0.012578616352201259
Tyler Pitlick,188,1,31,6.51,75,124,99,0.62,7.15,11.83,9.44,300,316,48.70,542,607,47.17,395,449,46.80,24.93,28.32,46.82,25,3,1,1000000,0.012578616352201259
Yanni Gourde,175,0,300,16.34,130,209,170,0.77,6.16,9.90,8.05,651,676,49.06,1201,1175,50.55,903,891,50.33,58.69,53.15,52.48,25,2,1,1000000,0.012578616352201259
Tomas Nosek,188,0,300,12.18,116,189,153,0.86,8.21,13.37,10.83,424,426,49.88,795,786,50.28,565,572,49.69,35.71,40.77,46.69,25,1,0,962500,0.012106918238993711
Scott Laughton,185,0,20,15.54,130,211,173,0.77,6.40,10.40,8.52,521,731,41.61,916,1385,39.81,700,1010,40.94,49.66,68.58,42.00,23,2,0,962500,0.012106918238993711
Gabriel Bourque,178,0,132,3.80,34,60,53,0.43,3.81,6.72,5.94,197,354,35.75,345,698,33.08,273,490,35.78,15.63,33.29,31.95,27,1,1,950000,0.011949685534591196
Nicolas Deslauriers,191,0,84,4.17,48,85,67,0.52,5.98,10.58,8.34,219,234,48.34,421,439,48.95,306,321,48.80,14.09,17.23,44.97,27,2,1,950000,0.011949685534591196
Curtis Lazar,183,1,17,0.00,0,0,0,0.00,0.00,0.00,0.00,4,1,80.00,5,4,55.56,4,3,57.14,0.14,0.19,42.42,22,2,0,950000,0.011949685534591196
Robby Fabbri,178,0,21,4.57,43,83,60,0.68,6.37,12.30,8.89,212,202,51.21,367,379,49.20,281,271,50.91,18.14,16.64,52.16,22,1,0,925000,0.011635220125786163
Frank Vatrano,178,0,300,20.46,208,324,266,1.03,10.51,16.37,13.44,694,548,55.88,1185,1031,53.47,930,766,54.83,56.92,46.46,55.06,24,1,0,925000,0.011635220125786163
Bogdan Kiselevich,183,0,300,0.50,14,42,23,0.06,1.77,5.30,2.90,236,225,51.19,436,419,50.99,321,310,50.87,16.87,16.45,50.63,28,1,1,925000,0.011635220125786163
Josh Leivo,188,1,86,15.06,151,276,214,0.85,8.50,15.53,12.04,610,447,57.71,1181,828,58.79,871,642,57.57,53.84,37.97,58.64,25,1,0,925000,0.011635220125786163
MacKenzie Weegar,183,1,206,2.76,79,156,107,0.15,4.37,8.61,5.91,518,501,50.83,958,974,49.59,716,681,51.25,39.61,44.05,47.35,24,1,0,900000,0.011320754716981131
Brett Kulak,188,0,105,3.94,102,203,137,0.23,6.02,11.98,8.08,624,487,56.17,1131,916,55.25,827,670,55.24,44.27,39.54,52.82,24,1,0,900000,0.011320754716981131
Dylan DeMelo,183,1,179,3.97,109,215,152,0.16,4.40,8.69,6.14,739,881,45.62,1323,1632,44.77,1002,1179,45.94,66.65,77.75,46.16,25,2,1,900000,0.011320754716981131
Jacob De La Rose,191,0,34,4.05,55,95,69,0.35,4.80,8.30,6.03,258,384,40.19,459,700,39.60,345,544,38.81,18.64,35.63,34.35,23,2,0,900000,0.011320754716981131
Magnus Pääjärvi,191,0,10,10.96,119,177,154,0.61,6.63,9.86,8.58,432,700,38.15,787,1299,37.72,599,963,38.35,36.01,56.38,38.97,27,1,1,900000,0.011320754716981131
Michael Vecchione,178,1,300,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,24,2,0,900000,0.011320754716981131
Chris Thorburn,191,1,50,0.00,0,0,0,0.00,0.00,0.00,0.00,0,4,0.00,0,5,0.00,0,4,0.00,0.00,0.21,0.00,34,2,1,900000,0.011320754716981131
Korbinian Holzer,191,1,111,0.69,15,33,22,0.12,2.54,5.60,3.73,138,203,40.47,263,380,40.90,205,287,41.67,12.53,20.25,38.22,29,2,1,900000,0.011320754716981131
Brock McGinn,183,0,47,17.52,123,252,187,0.90,6.29,12.89,9.56,525,602,46.58,1020,1199,45.97,765,891,46.20,51.56,60.44,46.04,23,2,0,887500,0.011163522012578616
Ryan Hartman,183,1,30,14.31,145,245,190,0.79,7.99,13.50,10.47,556,581,48.90,1003,1000,50.07,733,778,48.51,44.77,50.18,47.15,23,1,0,875000,0.0110062893081761
Jason Dickinson,188,0,29,9.78,94,153,125,0.66,6.29,10.25,8.36,409,488,45.60,716,913,43.95,549,646,45.94,35.75,38.11,48.40,22,1,0,875000,0.0110062893081761
Slater Koekkoek,188,0,10,1.21,36,69,46,0.15,4.40,8.44,5.62,245,289,45.88,443,513,46.34,328,376,46.59,19.39,26.21,42.53,24,1,0,865000,0.010880503144654089
Troy Brouwer,191,1,214,8.33,86,136,112,0.53,5.42,8.58,7.06,434,508,46.07,767,964,44.31,590,706,45.52,32.47,42.48,43.32,32,1,1,850000,0.010691823899371069
Garnet Hathaway,191,1,300,9.11,77,136,108,0.68,5.77,10.19,8.10,326,375,46.50,613,755,44.81,455,547,45.41,28.72,35.86,44.47,26,1,0,850000,0.010691823899371069
Mirco Mueller,191,0,18,1.24,39,94,57,0.08,2.44,5.89,3.57,458,485,48.57,774,911,45.93,605,695,46.54,36.78,40.17,47.80,22,2,0,850000,0.010691823899371069
Paul LaDue,188,1,181,1.29,33,75,49,0.18,4.54,10.31,6.74,227,216,51.24,419,406,50.79,312,306,50.49,17.80,15.39,53.63,25,2,0,825000,0.010377358490566037
Alex Biega,178,1,147,2.77,91,183,129,0.23,7.54,15.15,10.68,358,375,48.84,693,689,50.14,531,522,50.43,29.49,30.79,48.92,30,2,1,825000,0.010377358490566037
Micheal Haley,180,0,300,5.13,34,71,55,0.88,5.86,12.24,9.48,148,150,49.66,295,308,48.92,226,221,50.56,14.44,11.15,56.43,31,2,1,825000,0.010377358490566037
Lukas Sedlak,183,0,158,5.27,43,70,60,0.75,6.10,9.93,8.51,198,178,52.66,329,340,49.18,261,246,51.48,15.79,14.84,51.55,24,2,0,825000,0.010377358490566037
Casey Nelson,185,1,300,0.98,37,83,54,0.10,3.79,8.50,5.53,262,270,49.25,485,495,49.49,378,382,49.74,20.14,24.19,45.43,25,2,1,812500,0.010220125786163521
Jake Dotchin,191,1,161,0.25,7,25,12,0.06,1.78,6.35,3.05,95,140,40.43,190,247,43.48,147,193,43.24,8.46,11.86,41.63,23,2,0,812500,0.010220125786163521
Nick Jensen,185,1,150,3.10,94,192,130,0.12,3.55,7.25,4.91,699,808,46.38,1270,1558,44.91,962,1159,45.36,57.66,76.70,42.91,26,2,1,812500,0.010220125786163521
Drew Stafford,188,1,13,7.40,77,136,106,0.64,6.61,11.67,9.10,306,356,46.22,559,646,46.39,427,492,46.46,26.60,28.28,48.47,32,1,1,810000,0.010188679245283019
Jake Dotchin,191,1,161,0.25,7,25,12,0.06,1.78,6.35,3.05,95,140,40.43,190,247,43.48,147,193,43.24,8.46,11.86,41.63,24,1,1,800000,0.010062893081761006
Marko Dano,180,0,27,0.22,3,9,6,0.24,3.27,9.81,6.54,22,25,46.81,46,50,47.92,35,41,46.05,1.31,2.31,36.19,23,1,0,800000,0.010062893081761006
Adam Erne,185,0,33,6.41,70,135,103,0.56,6.13,11.81,9.01,313,330,48.68,574,607,48.60,436,466,48.34,24.58,23.36,51.27,23,1,0,800000,0.010062893081761006
Christian Folin,193,1,300,1.96,47,113,75,0.17,4.00,9.61,6.39,334,372,47.31,605,683,46.97,459,497,48.01,27.73,31.04,47.18,27,1,1,800000,0.010062893081761006
Luke Schenn,188,1,5,1.48,30,64,40,0.25,4.98,10.62,6.64,145,202,41.79,275,381,41.92,190,275,40.86,8.98,17.32,34.13,28,1,1,800000,0.010062893081761006
Martin Marincin,196,0,46,1.52,34,79,49,0.25,5.59,12.99,8.06,187,196,48.83,359,343,51.14,255,271,48.48,15.12,14.66,50.77,26,1,0,800000,0.010062893081761006
Travis Boyd,183,1,177,4.28,35,77,58,0.49,4.03,8.86,6.68,243,286,45.94,472,524,47.39,355,389,47.72,18.72,25.85,42.00,24,2,0,800000,0.010062893081761006
Dalton Prout,191,1,154,0.60,14,42,26,0.14,3.20,9.61,5.95,119,107,52.65,222,241,47.95,169,167,50.30,10.69,11.39,48.41,28,1,1,800000,0.010062893081761006
Nikita Soshnikov,180,0,300,0.05,1,5,2,0.08,1.67,8.36,3.35,14,21,40.00,27,42,39.13,20,33,37.74,0.79,1.95,28.83,24,1,0,800000,0.010062893081761006
Ty Rattie,183,1,32,9.41,84,124,104,1.00,8.88,13.12,11.00,289,278,50.97,519,500,50.93,386,368,51.19,25.51,22.07,53.61,25,1,1,800000,0.010062893081761006
Griffin Reinhart,193,0,4,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,23,2,0,800000,0.010062893081761006
